source,title,summary,link
Google News,"Canada Commits Billions in Defense Spending to Meet NATO Target, Mark Carney Says - The New York Times","<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxNdzdRQmltLTk2Rk9DdUpwMW1qbTJKckFWTTVlYmdqdGtjc1d2U1hSVnd2OVBDbF9FY3QxMENFN1MtV2dMWmd6UzN2bTdyRkt2Z3pDVktGODFoX0Q3QzhmNzgteWlaZUhNSFVXWG1BbEV0SXlNMzF0bWFTczJwaUk0bGx4TzAxZlFRckIwYmFZT3VWQ1U?oc=5"" target=""_blank"">Canada Commits Billions in Defense Spending to Meet NATO Target, Mark Carney Says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>",https://news.google.com/rss/articles/CBMikwFBVV95cUxNdzdRQmltLTk2Rk9DdUpwMW1qbTJKckFWTTVlYmdqdGtjc1d2U1hSVnd2OVBDbF9FY3QxMENFN1MtV2dMWmd6UzN2bTdyRkt2Z3pDVktGODFoX0Q3QzhmNzgteWlaZUhNSFVXWG1BbEV0SXlNMzF0bWFTczJwaUk0bGx4TzAxZlFRckIwYmFZT3VWQ1U?oc=5
Google News,Canada pledges to meet Nato's 2% defence spending target sooner - BBC,"<a href=""https://news.google.com/rss/articles/CBMiWkFVX3lxTE5mSUdLcWw1WWl6aVRtSk9UcGRfVmdQYlUxTlZmTjgzNnFpaUVsSmJ2T01rQUpIWHlwMktBaXA0bmo3eThDZGRvVVFnRHhRLXVBbEVBb2hLRTdYd9IBX0FVX3lxTE5USTAwVWRtcWRoUGdLWGdoeGdDVUxWaEwyYVE1TExxR18zWXNoLXd1ZGptLU9uSWJqVVl0d2hNaExCTTdLTEtkeXhESXdVSnljajIzTXlPMVFGaE1Ga1p3?oc=5"" target=""_blank"">Canada pledges to meet Nato's 2% defence spending target sooner</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BBC</font>",https://news.google.com/rss/articles/CBMiWkFVX3lxTE5mSUdLcWw1WWl6aVRtSk9UcGRfVmdQYlUxTlZmTjgzNnFpaUVsSmJ2T01rQUpIWHlwMktBaXA0bmo3eThDZGRvVVFnRHhRLXVBbEVBb2hLRTdYd9IBX0FVX3lxTE5USTAwVWRtcWRoUGdLWGdoeGdDVUxWaEwyYVE1TExxR18zWXNoLXd1ZGptLU9uSWJqVVl0d2hNaExCTTdLTEtkeXhESXdVSnljajIzTXlPMVFGaE1Ga1p3?oc=5
Google News,Carney says Canada will meet NATO spending target this year - Politico,"<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxOMEVucTFseWRXYXRUYVNUMFlIZktDMFVVTVpGVm1USTBTN2s2bWpDSXlnLWpXZkVwd1ppV3RWMWctZnJIX2dpNzBUUkZDRDRLRDJST2lVc1BWU1VJZmU1ZWJKd2I4aWVnWXNTRUMweEhzZzl6S29zRUZhV0Y4NmcyX1hZb2dtSHpCWktNU09HcTdJblpPWXlV?oc=5"" target=""_blank"">Carney says Canada will meet NATO spending target this year</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Politico</font>",https://news.google.com/rss/articles/CBMilwFBVV95cUxOMEVucTFseWRXYXRUYVNUMFlIZktDMFVVTVpGVm1USTBTN2s2bWpDSXlnLWpXZkVwd1ppV3RWMWctZnJIX2dpNzBUUkZDRDRLRDJST2lVc1BWU1VJZmU1ZWJKd2I4aWVnWXNTRUMweEhzZzl6S29zRUZhV0Y4NmcyX1hZb2dtSHpCWktNU09HcTdJblpPWXlV?oc=5
Google News,"'These are Muslim values, these are Canadian values': PM Mark Carney trolled on social media for his Eid message - Times of India","<a href=""https://news.google.com/rss/articles/CBMimgJBVV95cUxOMnVOR1ZPeWVSZmxuSHgxbEQ4TWxfQzU2THUxcm0zV25jMFdfQV9zVUFHWlNRbE5PYi1IX0twcTd6N095dkZEY1drc0J4T1hjN2NhRnF3aHNuQmhjN0VJMHU1UlB4Zm0tSjZYeGVIc1J2VTROTE9OdDZsSmlRcU0tdzhsdVoxTzFRRUEzeTdkSHFyUjg1ODJWSzZlc0s1UG1HWW1RQk1CTm1PVzNOU2VubXVCZlBPTnZUUklUNmFOWmpjclMyMm1zdjR4Z3A3Tnh0SjJHTE5jb3FDbUpPWEZJWW1yOFp1dmtYbjktTzNxWEtMT3ItczZURWpESVpaYzc1eVNoQW5YTUE0VlhUby04Vy05QjJTYmU5VUE?oc=5"" target=""_blank"">'These are Muslim values, these are Canadian values': PM Mark Carney trolled on social media for his Eid message</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",https://news.google.com/rss/articles/CBMimgJBVV95cUxOMnVOR1ZPeWVSZmxuSHgxbEQ4TWxfQzU2THUxcm0zV25jMFdfQV9zVUFHWlNRbE5PYi1IX0twcTd6N095dkZEY1drc0J4T1hjN2NhRnF3aHNuQmhjN0VJMHU1UlB4Zm0tSjZYeGVIc1J2VTROTE9OdDZsSmlRcU0tdzhsdVoxTzFRRUEzeTdkSHFyUjg1ODJWSzZlc0s1UG1HWW1RQk1CTm1PVzNOU2VubXVCZlBPTnZUUklUNmFOWmpjclMyMm1zdjR4Z3A3Tnh0SjJHTE5jb3FDbUpPWEZJWW1yOFp1dmtYbjktTzNxWEtMT3ItczZURWpESVpaYzc1eVNoQW5YTUE0VlhUby04Vy05QjJTYmU5VUE?oc=5
Google News,"Canada to announce new security and defence investment plan, Globe and Mail reports - Reuters","<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxNc0JlU3M4ZnRZTm1YcWt1MkpFZzZRajdhNGVSeDE4Nmp2NkdYTnhqMkE5aTh0TnRkOWFuelVuN1NEYmJVLW1WZzI4ZHFTeDdseGFzRy1zSi05ZjVZbEpkeVIwMzQxRFdGSnp0VG1mdUJYOC1lNklwM3lxdlpEaFVoNzh4cjVaTnltRTJFUnFDVmF2ckRlN0s2cXB1eThLZ0tHZlBtZ2ZlV01qMXptd3J0bTFWOVFkcVhRNVM4NVdfR1ltZFZ0WVFKQnA3ZHA1dm8?oc=5"" target=""_blank"">Canada to announce new security and defence investment plan, Globe and Mail reports</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMizwFBVV95cUxNc0JlU3M4ZnRZTm1YcWt1MkpFZzZRajdhNGVSeDE4Nmp2NkdYTnhqMkE5aTh0TnRkOWFuelVuN1NEYmJVLW1WZzI4ZHFTeDdseGFzRy1zSi05ZjVZbEpkeVIwMzQxRFdGSnp0VG1mdUJYOC1lNklwM3lxdlpEaFVoNzh4cjVaTnltRTJFUnFDVmF2ckRlN0s2cXB1eThLZ0tHZlBtZ2ZlV01qMXptd3J0bTFWOVFkcVhRNVM4NVdfR1ltZFZ0WVFKQnA3ZHA1dm8?oc=5
Google News,Mark Carney says Canada to hit Nato spending target this year - Financial Times,"<a href=""https://news.google.com/rss/articles/CBMicEFVX3lxTE1FTGwzd0M2Yl9wcU02MjdLN1pMRjduc1NkTjdibzRfUHVTSjFBZ3REZzhJNVFmSjQxQ0lVbEVEUlRnaWRvQ3hJRU5HVWlqV1VIN2otck41cFJPNDYtUEc2RVVHaGhJR1I3M1F6dEx1Rkc?oc=5"" target=""_blank"">Mark Carney says Canada to hit Nato spending target this year</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Financial Times</font>",https://news.google.com/rss/articles/CBMicEFVX3lxTE1FTGwzd0M2Yl9wcU02MjdLN1pMRjduc1NkTjdibzRfUHVTSjFBZ3REZzhJNVFmSjQxQ0lVbEVEUlRnaWRvQ3hJRU5HVWlqV1VIN2otck41cFJPNDYtUEc2RVVHaGhJR1I3M1F6dEx1Rkc?oc=5
Google News,Carney Rules Out Tax Increases to Finance Higher Canada Defense Spending - WSJ,"<a href=""https://news.google.com/rss/articles/CBMitANBVV95cUxQVXpHWEk0WHJpdEx6M1FQUFdQcnNoUHFhQkN0SUdKbVRKQXNQVFdKSGdOQ09fbTRBMUJENmhCNW1Hc0dUYWJUWlFDYXlnWm5NUDRQenNIMXItMEt6RW5BanpEUUc1Rlg2MGN2T2N2alhrMGsyRnNZQlF2SXV0RktNMVE0bEZsRU5vS0l6NGMtV3NDR24xT3ZidnNWRG1pSTBSMWtWVXhoODB3UDhicDloT3N1enZBT3RZQkNUamYxZW12NzRZRFJoSDdyazBpSEx1U3drUjJxT2xTMl83d0FINmxpX2M4UVUwU3hRdGJBV2hqVEFxSFlVMjN6c2dXUHZKZ3NPaTNlRkxZZ2tOMDJJYlF6VHVuUV92Vk12dlhBbXl2X1dTREtFQWZlQ3hYWFo4ZHhxVTZCNmZ1elJOYldXZFY4YXhNYVVvMU9JT0dQUWJNbjlDQ0JXWTFGZW9Cbk5selBHYmJpaGRHZF9mS0F0ZHJ2My01aVhDdGJ4THNEQnZOdnJWN3cwT3YwcWxKejNCS1dOdVFXRWFMc2FfcVN6ZzktQmc4YmRhVmdqeWE2SzVGdlVN?oc=5"" target=""_blank"">Carney Rules Out Tax Increases to Finance Higher Canada Defense Spending</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WSJ</font>",https://news.google.com/rss/articles/CBMitANBVV95cUxQVXpHWEk0WHJpdEx6M1FQUFdQcnNoUHFhQkN0SUdKbVRKQXNQVFdKSGdOQ09fbTRBMUJENmhCNW1Hc0dUYWJUWlFDYXlnWm5NUDRQenNIMXItMEt6RW5BanpEUUc1Rlg2MGN2T2N2alhrMGsyRnNZQlF2SXV0RktNMVE0bEZsRU5vS0l6NGMtV3NDR24xT3ZidnNWRG1pSTBSMWtWVXhoODB3UDhicDloT3N1enZBT3RZQkNUamYxZW12NzRZRFJoSDdyazBpSEx1U3drUjJxT2xTMl83d0FINmxpX2M4UVUwU3hRdGJBV2hqVEFxSFlVMjN6c2dXUHZKZ3NPaTNlRkxZZ2tOMDJJYlF6VHVuUV92Vk12dlhBbXl2X1dTREtFQWZlQ3hYWFo4ZHhxVTZCNmZ1elJOYldXZFY4YXhNYVVvMU9JT0dQUWJNbjlDQ0JXWTFGZW9Cbk5selBHYmJpaGRHZF9mS0F0ZHJ2My01aVhDdGJ4THNEQnZOdnJWN3cwT3YwcWxKejNCS1dOdVFXRWFMc2FfcVN6ZzktQmc4YmRhVmdqeWE2SzVGdlVN?oc=5
Google News,"Canada plans to hit NATO spending target early and reduce reliance on US defense, Carney says - CNN","<a href=""https://news.google.com/rss/articles/CBMigAFBVV95cUxNeUtEVFZvU053VHcyQkpFSnlvNGRaWnBZV3lqV1gxNVJpTnVRQ3lsYkFBYzRnSlJaZGVrMDk3Sm1lU1g3Q0tpTjZ4ODBhalI5SzFOQ3VmOFdDQWhYSTg0N0lQeXBlRUVtd2xCWE1Bd1EtdjlKakRhWlVpRWR0c3F0StIBhgFBVV95cUxQdjE2Ny1xNTd1WGdTYU5lWWZBUThuTFNKZ0p3eThWb0U0dDJFc2VNOU1RMDcyRnItUVYxb2t2enlyTWIwWGpQSmExRFAzS2lKQWlMWFBTMWlwZDNmUDdoWEhBUGNTYXQ5alRjUGhBSFJST3paZzNvOGF3STlaazJqWGVKR2pqQQ?oc=5"" target=""_blank"">Canada plans to hit NATO spending target early and reduce reliance on US defense, Carney says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font>",https://news.google.com/rss/articles/CBMigAFBVV95cUxNeUtEVFZvU053VHcyQkpFSnlvNGRaWnBZV3lqV1gxNVJpTnVRQ3lsYkFBYzRnSlJaZGVrMDk3Sm1lU1g3Q0tpTjZ4ODBhalI5SzFOQ3VmOFdDQWhYSTg0N0lQeXBlRUVtd2xCWE1Bd1EtdjlKakRhWlVpRWR0c3F0StIBhgFBVV95cUxQdjE2Ny1xNTd1WGdTYU5lWWZBUThuTFNKZ0p3eThWb0U0dDJFc2VNOU1RMDcyRnItUVYxb2t2enlyTWIwWGpQSmExRFAzS2lKQWlMWFBTMWlwZDNmUDdoWEhBUGNTYXQ5alRjUGhBSFJST3paZzNvOGF3STlaazJqWGVKR2pqQQ?oc=5
Google News,Mark Carney revives tough talk about America and warns ‘a new imperialism threatens’ - Toronto Star,"<a href=""https://news.google.com/rss/articles/CBMigwJBVV95cUxOdGE3ZXJ2a005REctaGlRVFVmWEVWTUxQN3llRklJYzFZZFdySVgtYlRvaEUxUHVJQ20wTUVoVTZlZFlneTZPSHlHNjd4a0lJZUhnU1NucVVjLUhMcGt6Q1RKdTdTbkZDRXNkc3gtMUVaRjFWYlFTbjY1S1dMaEpqWG5fZkVxblNtQ3ZYNXlNUnoxbnNQVU5hOWszWW1KN1M5SzVtd3BTRzd2cTZKcExIWEs4aFh5VTJQQWhhaUdmUXllb0lxZ2JtMHdTSnJOSWRkS1NtNjhMYVd5bVNNZlVRS1FTaUFrbDR5YjBwTDFmOTYzdlFyTWFxUmZqWEJfLWNLbTNv?oc=5"" target=""_blank"">Mark Carney revives tough talk about America and warns ‘a new imperialism threatens’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Toronto Star</font>",https://news.google.com/rss/articles/CBMigwJBVV95cUxOdGE3ZXJ2a005REctaGlRVFVmWEVWTUxQN3llRklJYzFZZFdySVgtYlRvaEUxUHVJQ20wTUVoVTZlZFlneTZPSHlHNjd4a0lJZUhnU1NucVVjLUhMcGt6Q1RKdTdTbkZDRXNkc3gtMUVaRjFWYlFTbjY1S1dMaEpqWG5fZkVxblNtQ3ZYNXlNUnoxbnNQVU5hOWszWW1KN1M5SzVtd3BTRzd2cTZKcExIWEs4aFh5VTJQQWhhaUdmUXllb0lxZ2JtMHdTSnJOSWRkS1NtNjhMYVd5bVNNZlVRS1FTaUFrbDR5YjBwTDFmOTYzdlFyTWFxUmZqWEJfLWNLbTNv?oc=5
Google News,John Ivison: Carney now has billions of reasons to buy fighter planes other than F-35s - National Post,"<a href=""https://news.google.com/rss/articles/CBMiYkFVX3lxTE5Qa3hldExWallHRTAyWkllNXNPSjVFdWk4Y1B3QllnUUY0R2xKRDhmWGk4WDdEOVI5XzFLVjdGTktUM25QS19aU1JidlRzZDdrWUdiaUNUcURQSEh0Y2ZZT1Zn?oc=5"" target=""_blank"">John Ivison: Carney now has billions of reasons to buy fighter planes other than F-35s</a>&nbsp;&nbsp;<font color=""#6f6f6f"">National Post</font>",https://news.google.com/rss/articles/CBMiYkFVX3lxTE5Qa3hldExWallHRTAyWkllNXNPSjVFdWk4Y1B3QllnUUY0R2xKRDhmWGk4WDdEOVI5XzFLVjdGTktUM25QS19aU1JidlRzZDdrWUdiaUNUcURQSEh0Y2ZZT1Zn?oc=5
Google News,"Canada vows to meet NATO defense budget target early, US welcomes news - Reuters","<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxQZm1nZ3hEdHVzYVI4MXZiaE84dDAyRWZEd1N3MHhVV1ZHVFh0NVV4WkRWdElFZUxzMnNRSzRKYnZhRnJVdGNXdllwTlpyR2tFMUNIMlIwUFhtN1FLZUhXQlU0VjdWS2NPM0JPX3cydXoyVm0ta3BRWklTVDZXeWdmamxhTEprUGFOZUlRdkVlWW9FM0kzVGFRdk5UcnViR1FrNFU0aXA3X3JaTFlxTUFsN3A4dnE0N2pSalRMdDR0WjZPVXN2R211ZkxhLXo?oc=5"" target=""_blank"">Canada vows to meet NATO defense budget target early, US welcomes news</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",https://news.google.com/rss/articles/CBMizAFBVV95cUxQZm1nZ3hEdHVzYVI4MXZiaE84dDAyRWZEd1N3MHhVV1ZHVFh0NVV4WkRWdElFZUxzMnNRSzRKYnZhRnJVdGNXdllwTlpyR2tFMUNIMlIwUFhtN1FLZUhXQlU0VjdWS2NPM0JPX3cydXoyVm0ta3BRWklTVDZXeWdmamxhTEprUGFOZUlRdkVlWW9FM0kzVGFRdk5UcnViR1FrNFU0aXA3X3JaTFlxTUFsN3A4dnE0N2pSalRMdDR0WjZPVXN2R211ZkxhLXo?oc=5
Google News,Canada boosts defense spending to hit NATO's 2% target early - DW,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxQb3hWNlFUME5MSXdoclFGZFR1MUl5UW9MTXB3cGU2OHVKR0FoV1dZdnhyeDNmQUpEUU9rS2RoMVFWY08zSjhEWkl4VHpSbGtobkdiVHRQU1N6bGNhNk5Lc0Y0Vms0elZtZTR1c0tobkFGVTA2amNteTBkdEFVb2VDZ0VJaVJsbDN6anlwYXlfNnNYenFZMmfSAZYBQVVfeXFMUF9Dc0RHVFFUcllQYUdEYXNmdFRwVzRhV1ZIc0JJLUtucVVBWjIyZXB0TEV3TjFOdnNVSl9PSXBlUVV3UEVoeVNTd29WcVZpaldEWUJxbDFweE9EczlpUEdob05KaGN1Nkxjdm5HWWR3dkhMYWpsZF9pckx3b1pESjBlSzZ6U0R1LURqQXFDZnh3SE9WeHh3?oc=5"" target=""_blank"">Canada boosts defense spending to hit NATO's 2% target early</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DW</font>",https://news.google.com/rss/articles/CBMilgFBVV95cUxQb3hWNlFUME5MSXdoclFGZFR1MUl5UW9MTXB3cGU2OHVKR0FoV1dZdnhyeDNmQUpEUU9rS2RoMVFWY08zSjhEWkl4VHpSbGtobkdiVHRQU1N6bGNhNk5Lc0Y0Vms0elZtZTR1c0tobkFGVTA2amNteTBkdEFVb2VDZ0VJaVJsbDN6anlwYXlfNnNYenFZMmfSAZYBQVVfeXFMUF9Dc0RHVFFUcllQYUdEYXNmdFRwVzRhV1ZIc0JJLUtucVVBWjIyZXB0TEV3TjFOdnNVSl9PSXBlUVV3UEVoeVNTd29WcVZpaldEWUJxbDFweE9EczlpUEdob05KaGN1Nkxjdm5HWWR3dkhMYWpsZF9pckx3b1pESjBlSzZ6U0R1LURqQXFDZnh3SE9WeHh3?oc=5
Google News,Earth to Mark Carney: ‘Decarbonized Oil’ Is as Real as Vitamin Cigarettes - DeSmog,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxQd3pKRUVXTEVKdjhrUzJUOGpwUXA2RHFRMXJBWXB4ZzVLeTdsMGFMVTh5elJlSWxWUjE2TE8xSzRSQUstTDF2Y3BXVTRGVHNWa0xYNEVsQ1NrTGRybTdtc0VfM0hFMUpLc1lya09vcnEyZ0RBNDRZTTQ0M05tWWg0X3JFeWM4SzZ2ZlJkVEJHbm5Qd3Z4eGZla2FRdVNOdlpUOHF1VFVzUmE?oc=5"" target=""_blank"">Earth to Mark Carney: ‘Decarbonized Oil’ Is as Real as Vitamin Cigarettes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DeSmog</font>",https://news.google.com/rss/articles/CBMiqAFBVV95cUxQd3pKRUVXTEVKdjhrUzJUOGpwUXA2RHFRMXJBWXB4ZzVLeTdsMGFMVTh5elJlSWxWUjE2TE8xSzRSQUstTDF2Y3BXVTRGVHNWa0xYNEVsQ1NrTGRybTdtc0VfM0hFMUpLc1lya09vcnEyZ0RBNDRZTTQ0M05tWWg0X3JFeWM4SzZ2ZlJkVEJHbm5Qd3Z4eGZla2FRdVNOdlpUOHF1VFVzUmE?oc=5
Google News,"Canada to meet NATO spending threshold before schedule, Carney says - Al Jazeera","<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxQdmdHdVkxb0YxNzBWYk11VS0wRmk4dkNtN2tBOTZtSHF3aVlMMGV6ZGlIclBBSXk1MXFTNXJtcFlyaVlIeDdvZWRTQTE2YUhkeDR3bWMwSHZPdURFUUk5OC0tTjd0dnpUZ1RZSV8zdEw1YnRQNUYxRmowYTZZLWpfelY2dkVkZFdwd2xoZUNtT2pRUHA5V1UxcHZYb3RfaERDUk9rSnFHRE53UdIBrwFBVV95cUxNYkhIMHlQQ19NbUpkNlpDNzViemQ5NUctSFI2bFVtZ2k4TmRycjlYLW9lcHB5Tjdtbi1rT0dQejNpTWFrMlVUT0pHeWsyc19wVFZWdzdVcmNpYklOR1FlUXBPbnl1dmtxSnF4Z1dFdC14ejB3S25SZzdUc1dFeGpQbkZuWktla0xoLTNDbnJET0lNSlZNZXB5QmlIN1M5dE9oSVA5ZUd6Sld6ZlpZMk5v?oc=5"" target=""_blank"">Canada to meet NATO spending threshold before schedule, Carney says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Al Jazeera</font>",https://news.google.com/rss/articles/CBMiqgFBVV95cUxQdmdHdVkxb0YxNzBWYk11VS0wRmk4dkNtN2tBOTZtSHF3aVlMMGV6ZGlIclBBSXk1MXFTNXJtcFlyaVlIeDdvZWRTQTE2YUhkeDR3bWMwSHZPdURFUUk5OC0tTjd0dnpUZ1RZSV8zdEw1YnRQNUYxRmowYTZZLWpfelY2dkVkZFdwd2xoZUNtT2pRUHA5V1UxcHZYb3RfaERDUk9rSnFHRE53UdIBrwFBVV95cUxNYkhIMHlQQ19NbUpkNlpDNzViemQ5NUctSFI2bFVtZ2k4TmRycjlYLW9lcHB5Tjdtbi1rT0dQejNpTWFrMlVUT0pHeWsyc19wVFZWdzdVcmNpYklOR1FlUXBPbnl1dmtxSnF4Z1dFdC14ejB3S25SZzdUc1dFeGpQbkZuWktla0xoLTNDbnJET0lNSlZNZXB5QmlIN1M5dE9oSVA5ZUd6Sld6ZlpZMk5v?oc=5
Google News,"Lorne Gunter: Never mind the numbers, Carney's pledge to boost defence spending is welcome news - Edmonton Journal","<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxNdkZfcEd4MDlMcldPUlVaU3pFUFNyRk5YQktMZktYZjdPSzI0VFFrNXBaM1RnbDQ5dmI2NDRaVkFlNDgtNzVQLVNURHRSQ0haanNVRElSMnI5cWVwd3BqQXhiZ2dxMHU0alFwOWgwYllNeEtvQ2hITkJWMmpWRmVNeFpVdHNPelJldGN4cjRSV1FrZFZmRkJUZlhKRUF1Qi1XWGFwNHVRbGRJd1dEVFZfX1VxVnFubHFUb0V6WTc0ZUpSOGpMQmhj?oc=5"" target=""_blank"">Lorne Gunter: Never mind the numbers, Carney's pledge to boost defence spending is welcome news</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Edmonton Journal</font>",https://news.google.com/rss/articles/CBMixwFBVV95cUxNdkZfcEd4MDlMcldPUlVaU3pFUFNyRk5YQktMZktYZjdPSzI0VFFrNXBaM1RnbDQ5dmI2NDRaVkFlNDgtNzVQLVNURHRSQ0haanNVRElSMnI5cWVwd3BqQXhiZ2dxMHU0alFwOWgwYllNeEtvQ2hITkJWMmpWRmVNeFpVdHNPelJldGN4cjRSV1FrZFZmRkJUZlhKRUF1Qi1XWGFwNHVRbGRJd1dEVFZfX1VxVnFubHFUb0V6WTc0ZUpSOGpMQmhj?oc=5
